"monthly","name","cap_new_tests","cap_new_cases","cap_new_deaths"
"2020-03","Afghanistan",0.00102358594960321,0.000105717853868285,9.88017325871826e-07
"2020-04","Afghanistan",0.00679373886833813,0.00124417728455953,4.02452390738457e-05
"2020-05","Afghanistan",0.0211838563833313,0.00961576707370431,0.000156616681914005
"2020-06","Afghanistan",0.0303765926839293,0.0150131867379093,0.000396458418961502
"2020-07","Afghanistan",0.0144692268936531,0.00474987735836549,0.000469850045742015
"2020-08","Afghanistan",0.0121630669689617,0.00148247219018071,0.00011021173912467
"2020-09","Afghanistan",0.00693245650089053,0.000934203315522674,4.53829291683792e-05
"2020-10","Afghanistan",0.00882605438659295,0.00144269652493271,5.55201994086684e-05
"2020-11","Afghanistan",0.020660364433484,0.00393547061241266,0.00017896287162625
"2020-12","Afghanistan",0.0460900521061215,0.0052719329647455,0.000361295626002678
"2021-01","Afghanistan",0.0377645081738992,0.00238073929703141,0.000188934409928006
"2021-02","Afghanistan",0.0417418971287652,0.000734873172450238,3.94501203687394e-05
"2021-03","Afghanistan",0.04134763268499,0.000532828182384684,2.9831748936001e-05
"2021-04","Afghanistan",0.0477162967529799,0.00248064803397726,0.00011046033703247
"2021-05","Afghanistan",0.073968650146507,0.0083296872306856,0.000236168012410008
"2021-06","Afghanistan",0.0957973695026716,0.0385583641594739,0.00152075626798192
"2021-07","Afghanistan",0.0835371836177293,0.0258475531336595,0.00158688331145672
"2021-08","Afghanistan",0.042675145512642,0.0062199196531562,0.000441675616191347
"2021-09","Afghanistan",0.00809014933552541,0.00176565282915468,8.47718865598027e-05
"2021-10","Afghanistan",0.0103681900746457,0.000914011641011363,5.55201994086684e-05
"2021-11","Afghanistan",0.0152144129332785,0.000885395259624606,3.25387039320455e-05
"2021-12","Afghanistan",0.0242076356018721,0.000671214351060021,3.89470055553346e-05
"2022-01","Afghanistan",0.0296328706097609,0.00280004110152076,3.97756652480013e-05
"2022-02","Afghanistan",0.0307114599847337,0.0108276818742293,0.000162387704773648
"2022-03","Afghanistan",0.0256751919175848,0.00366184718189412,6.79500947986688e-05
"2022-04","Afghanistan",0.0208301222770243,0.00110567372242773,2.24773941635841e-05
"2020-04","Albania",0.10565912318337,0.00614859352811433,7.55355470284316e-05
"2020-05","Albania",0.0880988141406443,0.00378847317805824,2.24170010535991e-05
"2020-06","Albania",0.121438498957609,0.0145471392170489,0.000196895992587445
"2020-07","Albania",0.154867851778789,0.0297137348965455,0.00104239054899236
"2020-08","Albania",0.232195296913179,0.0468851577036024,0.00141227106637674
"2020-09","Albania",0.29153347231874,0.0476488302061617,0.00122770442436877
"2020-10","Albania",0.371920464480262,0.0756685870564236,0.00127776906005515
"2020-11","Albania",0.755883715543201,0.187792448459578,0.0032314107018763
"2020-12","Albania",0.795467282386962,0.229684592795176,0.00433768970387142
"2021-01","Albania",1.03754847676478,0.209924006366428,0.00212961510009191
"2021-02","Albania",1.24105281445448,0.357415864191403,0.0047776233495483
"2021-03","Albania",1.05600887713242,0.221323051402183,0.00526799524759578
"2021-04","Albania",0.92968496641186,0.0780055594162613,0.00201528839471855
"2021-05","Albania",0.966789212939093,0.0171938398081105,0.000739761034768769
"2021-06","Albania",0.96569376882094,0.00268705119295807,3.47463516330785e-05
"2021-07","Albania",1.05189535743908,0.00509986773969378,0
"2021-08","Albania",1.6459234683584,0.122744289268982,0.000369880517384384
"2021-09","Albania",1.76960852443827,0.283078526754691,0.0019457956914524
"2021-10","Albania",1.20091237194288,0.172532448609025,0.00275729112959268
"2021-11","Albania",1.0528376187167,0.176916840398425,0.00208478109798471
"2021-12","Albania",0.9145127664821,0.105931538478782,0.00135622856374274
"2022-01","Albania",2.00880988141406,0.505469748257078,0.00136743706426954
"2022-02","Albania",1.09403851881267,0.217214335351931,0.00162563287997617
"2022-03","Albania",0.425497096998364,0.0270124862695869,0.000325046515277186
"2022-04","Albania",0.325428538336808,0.0171125781792912,1.44776465137827e-05
"2020-05","Algeria",0.0243552028460012,0.00411533462091032,0.000171910823891394
"2020-06","Algeria",0.0239948917926615,0.00306720485279697,0.000198399124307313
"2020-07","Algeria",0.0387271853880553,0.0114625700962423,0.000209654247043323
"2020-08","Algeria",0.0314201831568927,0.010881423236017,0.000226573712594188
"2020-09","Algeria",0.0189862640912788,0.00583567079428063,0.000178635226866738
"2020-10","Algeria",0.0432387976586402,0.00439317601172887,0.000164045252949688
"2020-11","Algeria",0.0263334929648127,0.0073772547946455,0.000176734852112837
"2021-01","Andorra",80.5692640692641,0.853535353535353,0.012987012987013
"2021-02","Andorra",6.24907235621521,0.474953617810761,0.00371057513914657
"2021-03","Andorra",4.90992878089652,0.440720569752828,0
"2021-04","Andorra",5.75151515151515,0.552813852813853,0.00216450216450216
"2021-05","Andorra",4.30121491411814,0.237117720988689,0
"2021-06","Andorra",2.32857142857143,0.0852813852813853,0
"2021-07","Andorra",2.7377461248429,0.300795978215333,0
"2021-08","Andorra",2.6279849183075,0.173858399664851,0
"2021-09","Andorra",2.1025974025974,0.0692640692640693,0
"2021-10","Andorra",2.83954754922497,0.122748219522413,0
"2021-11","Andorra",4.46233766233766,0.532034632034632,0
"2021-12","Andorra",15.3623795559279,2.45664013405949,0.00251361541684122
"2022-01","Andorra",11.4021784666946,5.34813573523251,0
"2022-02","Andorra",2.24489795918367,1.21196660482375,0
"2022-03","Andorra",0.61038961038961,0.701298701298701,0
"2020-03","Angola",0.00105623701437004,1.73866175204945e-05,0
"2020-04","Angola",0.00361062090508935,2.23128258179679e-05,0
