"quarterly","name","cap_new_tests","cap_new_cases","cap_new_deaths"
"2020-01","Afghanistan",0.00102358594960321,0.000105717853868285,9.88017325871826e-07
"2020-02","Afghanistan",0.0194704340049593,0.00863527142811976,0.00019732117450983
"2020-03","Afghanistan",0.0112345087474758,0.00240466234207187,0.000210254382673028
"2020-04","Afghanistan",0.0252414155899855,0.00354584383209135,0.000198806268875427
"2021-01","Afghanistan",0.0402361054025666,0.00123218934100562,8.76261588345435e-05
"2021-02","Afghanistan",0.0725103092550688,0.0163669304390636,0.000618216555331229
"2021-03","Afghanistan",0.0451661595989921,0.0113811004485427,0.000711179166890044
"2021-04","Afghanistan",0.0166117715648957,0.000822868081988599,4.24417877374506e-05
"2022-01","Afghanistan",0.0286052313102251,0.00559437365849203,8.76261588345435e-05
"2022-02","Afghanistan",0.0208301222770243,0.00110567372242773,2.24773941635841e-05
"2020-02","Albania",0.104814024289354,0.00827707733545121,9.92752903802244e-05
"2020-03","Albania",0.225488714989274,0.0413481584433634,0.00122745263921201
"2020-04","Albania",0.639842734991087,0.164127413360728,0.00294588633410883
"2021-01","Albania",1.10721951972821,0.259736699868736,0.00403443749517412
"2021-02","Albania",0.954195908330724,0.0324592016739341,0.000927842137015174
"2021-03","Albania",1.48609390579207,0.135386137716409,0.000759132247635737
"2021-04","Albania",1.05612291144212,0.151520530561682,0.0020658972112276
"2022-01","Albania",1.17885105397267,0.250988340668674,0.00108871901783646
"2022-02","Albania",0.325428538336808,0.0171125781792912,1.44776465137827e-05
"2020-02","Algeria",0.0241038230413456,0.00338408129431961,0.000190391033483896
"2020-03","Algeria",0.0298277863873017,0.00943189040357019,0.000205240473421359
"2020-04","Algeria",0.0413067628364885,0.00473421358691934,0.000165495492854048
"2021-01","Andorra",23.0834879406308,0.549671108112667,0.00438522516444594
"2021-02","Andorra",4.12901384329956,0.291137433994577,0.000713572142143571
"2021-03","Andorra",2.49364765669113,0.182523997741389,0
"2021-04","Andorra",7.58836815358555,1.04263128176172,0.000846979107848673
"2022-01","Andorra",6.6470830756545,3.21480107194393,0
"2020-01","Angola",0.00105623701437004,1.73866175204945e-05,0
"2020-02","Angola",0.0076113261776257,7.95772109591863e-05,6.68716058480557e-07
"2020-03","Angola",0.0172932116975651,0.00148561087313703,5.29157924536788e-05
"2020-04","Angola",0.0757062935397755,0.00415752766834498,7.77200701663408e-05
"2021-01","Angola",0.040481551349926,0.00161463721373659,4.42875785174818e-05
"2021-02","Angola",0.0716863614691157,0.0054961772846517,0.000118697100380299
"2021-03","Angola",0.11539148426152,0.00563586262001963,0.000205710143163676
"2021-04","Angola",0.0905686860214997,0.00672559722086258,7.97044123833538e-05
"2022-01","Angola",0.0777639167799212,0.00784938166426635,4.69921634651142e-05
"2022-02","Angola",0.0329748067912128,0.000258625935617355,0
"2020-02","Antigua & Barbuda",0.197911722828666,0.00593260560037969,0
"2020-03","Antigua & Barbuda",0.204081632653061,0.00377107364685004,0
"2020-04","Antigua & Barbuda",0.289152617568767,0.00610026619343389,0
"2021-01","Antigua & Barbuda",0.930045351473923,0.109863945578231,0.00238095238095238
"2021-02","Antigua & Barbuda",0.346938775510204,0.0201207243460765,0.00100603621730382
"2020-01","Argentina",0.00664796748520972,0.00108416674041951,2.38278404487804e-05
"2020-02","Argentina",0.0786257949502484,0.0138014255856543,0.000291769474883025
"2020-03","Argentina",0.38040015084059,0.157764779107039,0.00351656745306433
"2020-04","Argentina",0.678050337274942,0.212126073103815,0.00649441851337363
"2021-01","Argentina",0.976444818125498,0.176133089457277,0.00310720712747441
"2021-02","Argentina",1.88059990721731,0.509968304109379,0.00906868156182255
"2021-03","Argentina",1.74322708435144,0.202763951792579,0.00533882375123616
"2021-04","Argentina",0.967770329809872,0.0672503241918292,0.000509616087610677
"2022-01","Argentina",1.86751162836436,0.859912381626693,0.00266764020414786
"2022-02","Argentina",0.460057305956279,0.0338857421010709,0.000434772988760067
"2020-01","Armenia",0.04401342042048,0.00762343411883822,0
"2020-02","Armenia",0.387348729569452,0.0868513868851365,0.00154283785738393
"2020-03","Armenia",0.646286079032708,0.0935743737985884,0.0019736166341399
"2020-04","Armenia",1.12371054600948,0.398949360959075,0.00670956286959456
"2021-01","Armenia",0.933914576067799,0.120073499081261,0.00257246784415195
"2021-02","Armenia",1.24700240697541,0.128726824980622,0.0038793471125567
"2021-03","Armenia",1.96279475854378,0.125922610749974,0.0027696664661257
"2021-04","Armenia",2.78604234838369,0.313720670882918,0.00988275690032136
"2022-01","Armenia",1.87414032324596,0.291836352045599,0.00246746915663554
"2022-02","Armenia",0.811269546630667,0.00469681628979638,0.000126560917988525
"2020-01","Australia",0.406019607843137,0.0068,1.96078431372549e-05
"2020-02","Australia",0.912642533936652,0.00179228614522732,3.70609782374488e-05
"2020-03","Australia",2.22195524296675,0.00824424552429667,0.000328644501278772
"2020-04","Australia",1.57287212276215,0.000560954816709292,1.23614663256607e-05
"2021-01","Australia",1.82380348583878,0.000400871459694989,0
"2021-02","Australia",2.10066968325792,0.000542555483731954,0
"2021-03","Australia",7.21184356351236,0.030118073316283,0.000151321398124467
"2021-04","Australia",7.2145895140665,0.106377664109122,0.000404944586530264
"2022-01","Australia",5.22863529411765,1.80120348583878,0.00162135076252723
"2022-02","Australia",3.98665849673203,1.97759477124183,0.00161111111111111
"2020-01","Austria",0.173900527220536,0.0334303879718048,0.000308436351074592
"2020-02","Austria",0.675192118563204,0.0115332147310828,0.000768718290370522
"2020-03","Austria",1.16131274802306,0.030433817068814,0.000109830161534822
